id,objet,montant,categorie,procedure,offres_recues,acheteur_nom,titulaire_siret,date,prix_ref_moyen,prix_ref_max,unites_estimees_prix_moyen,unites_estimees_prix_max,suspicion_score,raisons_alerte
20230030100,FOURN. MATERIELS-LOGICIELS INFO ET CONSOLES JEUX - MATERIELS - LOGICIELS INFORMATIQUE,3000000.0,logiciels,Appel d'offres ouvert,,,42978416800065,2023-12-31,500,10000,6000,300,1,"Montant eleve (3,000,000 > seuil 500,000)"
202424NA10C100,FRUITS ET LEGUMES,50000.0,alimentaire_restauration,Appel d'offres ouvert,,,82867642900032,2023-12-31,8,20,6250,2500,0,
2023AO18100,PRESTATION DE SERVICES DE TÉLÉCOMMUNICATION - TÉLÉPHONIE FIXE ET TRUNK SIP,120000.0,telephonie,Appel d'offres ouvert,,,39748093003498,2023-12-31,500,5000,240,24,0,
2023AO18200,PRESTATION DE SERVICES DE TÉLÉCOMMUNICATION - TÉLÉPHONIE MOBILE,100000.0,telephonie,Appel d'offres ouvert,,,39748093003498,2023-12-31,500,5000,200,20,0,
2023091414MVG00,FOURNITURE DE MOBILIER MEDIATHEQUES,100000.0,mobilier_bureau,Appel d'offres ouvert,,,38365393800027,2023-12-30,400,2000,250,50,0,
2023091414MVG00,FOURNITURE DE MOBILIER MEDIATHEQUES,900000.0,mobilier_bureau,Appel d'offres ouvert,,,38365393800027,2023-12-30,400,2000,2250,450,1,"Montant eleve (900,000 > seuil 500,000)"
20242317100,FOURNITURES DE BUREAU DE LIBRAIRIE SCOLAIRES ET MOBILIERS ADMINISTRATIFS SCOLAIRES DES COLLECTIVITES LOCALES  LOT 6 - L01 LIVRES SCOLAIRES,40000.0,mobilier_bureau,Appel d'offres ouvert,,,65950183700010,2023-12-29,400,2000,100,20,0,
2023M2400006800,FRE ET LIV REPAS CHAUD ACTIVITES ALSH ET MJ CCAS - LOT 1,191100.0,alimentaire_restauration,Appel d'offres ouvert,,,44931731200030,2023-12-29,8,20,23888,9555,0,
20242316800,FOURNITURES DE BUREAU DE LIBRAIRIE SCOLAIRES ET MOBILIERS ADMINISTRATIFS SCOLAIRES DES COLLECTIVITES LOCALES  LOT 2 - F02 FOURNITURES DE BUREAU,66000.0,mobilier_bureau,Appel d'offres ouvert,,,65950183700010,2023-12-29,400,2000,165,33,0,
2023IMENAGE00,Matériel de Nettoyage,43401.5,nettoyage_produits,Procédure adaptée,,,53257857200028,2023-12-29,20,100,2170,434,0,
2023276310002,"23_2763_1_00 Evolution, maintenance et prestations associées du logiciel de la suite Scribe",165600.64,logiciels,Procédure négociée avec mise en concurrence préala,,,35028626600050,2023-12-29,500,10000,331,17,0,
2023SPEDF15-0100,Lot no01 : Approvisionnement de carburant par cartes accréditives des véhicules de la CCPCP,612000.0,vehicules,Appel d'offres ouvert,,,52824980800031,2023-12-29,30000,120000,20,5,0,
2024RLV230500300,Achat de matériel pour les services techniques - lot 3 : Quincaillerie,50000.0,materiel_construction,Procédure adaptée,,,32968134000017,2023-12-29,500,10000,100,5,0,
202325-00300,Lot 3 : Produits surgelés,40000.0,alimentaire_restauration,Procédure adaptée,,,31680701501340,2023-12-29,8,20,5000,2000,0,
2024000101,UNIHA - FOURNITURES DE CONSOMMABLES POUR IMPRIMANTES,167379.52,imprimantes,Appel d'offres ouvert,,,75377852100066,2023-12-29,800,5000,209,33,0,
202398755000,"Construction de 40 logements collectifs et d'une salle commune à Aulnoye Aymeries, rue Henri Barbusse: Lot 2 : Réseaux secs",35510.0,reseau,Procédure adaptée,,,30713280300049,2023-12-29,2000,20000,18,2,0,
2023M2400006900,FRE ET LIV REPAS FROID ACTIVITES ALSH ET MJ CCAS - LOT 2,63700.0,alimentaire_restauration,Appel d'offres ouvert,,,44931731200030,2023-12-29,8,20,7962,3185,0,
20242317200,FOURNITURES DE BUREAU DE LIBRAIRIE SCOALIRES ET MOBILIERS ADMINISTRATIFS SCOLAIRES DES COLLECTIVITES LOCALES  LOT 7 - L02 LIVRES NON SCOLAIRES A DESTI,40000.0,mobilier_bureau,Appel d'offres ouvert,,,65950183700010,2023-12-29,400,2000,100,20,0,
2023362L600,FRUITS ET LEGUMES,49000.0,alimentaire_restauration,Procédure adaptée,,,55204499202861,2023-12-29,8,20,6125,2450,0,
20242316700,FOURNITURES DE BUREAU DE LIBRAIRIE SCOLAIRES ET MOBILIERS ADMINISTRATIFS SCOLAIRES DES COLLECTIVITES LOCALES  LOT 1 - F01 PAPIER TOUTES IMPRESSIONS (R,44000.0,imprimantes,Appel d'offres ouvert,,,65950183700010,2023-12-29,800,5000,55,9,0,
2023L01200,TRAVAUX REALISATION ESPACE SANTE SIMONE VEIL LOT 3 COURANTS FORT ET FAIBLES - SSI,66458.14,chauffage_clim,Procédure adaptée,,,81800844300033,2023-12-29,15000,100000,4,1,0,
2023IMENAGE01,Matériel de Nettoyage,43401.5,nettoyage_produits,Procédure adaptée,,,53257857200028,2023-12-29,20,100,2170,434,0,
202423000650100,FOURNITURE & POSE DE MOBILIER D'AMENAGEMENT CONSERVATOIRE KB,115357.21,mobilier_bureau,Procédure adaptée,,,39952875100049,2023-12-29,400,2000,288,58,0,
202322N0823-0000,DP-FOURNITURES ET POSE DE COMPTEURS VELOS ET DE TOTEMS D'AFFICHAGE,480000.0,ecrans_moniteurs,Appel d'offres ouvert,,,47762777200023,2023-12-29,250,800,1920,600,1,"Montant eleve (480,000 > seuil 200,000)"
20232319010000,"TRVX RENOUVELLEMENT RESEAUX EAUX POTABLE, USEES, PLUVIALES",1090439.2,mobilier_bureau,Procédure adaptée,,,42134004300072,2023-12-28,400,2000,2726,545,1,"Montant eleve (1,090,439 > seuil 500,000)"
2023TX0011-100,PITHIVIERS_LOT 01 EAU POTABLE_REQUALIFICATION RUE CAPITAINE GIRY,96126.2,mobilier_bureau,Procédure adaptée,,,32933888305004,2023-12-28,400,2000,240,48,0,
2023-007 LOT 100,IMPRESSION  DES SUPPORTS DE COMMUNICATIONS,152000.0,imprimantes,Procédure adaptée,,,78735021400039,2023-12-28,800,5000,190,30,0,
2023AOO00162,Fourniture et livraison d'équipements pédagogiques pour la formation automobile de la Chambre de métiers et de l'artisanat Hauts-de-France: Lot 2: Out,720000.0,telephonie,Appel d'offres ouvert,6.0,,58558103600019,2023-12-28,500,5000,1440,144,1,"Montant eleve (720,000 > seuil 300,000)"
20232024F0003200,"Fournitures de denrées alimentaires et fournitures diverses pour la commune de Theix-Noyalo - Produits jetables, essuyage, hygiène du personnel, cuisi",7000.0,mobilier_bureau,Appel d'offres ouvert,,,50315165600033,2023-12-28,400,2000,18,4,0,
20242024010100,MOBILIER SCOLAIRE,60000.0,mobilier_bureau,Procédure adaptée,,,84966150900026,2023-12-28,400,2000,150,30,0,
2023A13L300,PEINTURE REVETEMENTS DE SOLS ET CONNEXE,360000.0,materiel_construction,Appel d'offres ouvert,,,30628930703402,2023-12-28,500,10000,720,36,0,
241000008,"DEVELOPPEMENT, MISE A DISPOSITION ET ACCOMPAGNEMENT DANS L'UTILISATION D'UN LOGICIEL ERP ("" ENTERPRISE RESOURCE PLANNING "") DANS LE DOMAINE DES ENERGI",150000.0,logiciels,Procédure adaptée,3.0,,89140307300010,2023-12-28,500,10000,300,15,0,
20232024F0000100,Fourniture de services internet du siège et des sites distants - Accès internet du siège de Golfe du Morbihan - Vannes agglomération en fibre optique,88000.0,mobilier_bureau,Procédure adaptée,,,47889051000017,2023-12-28,400,2000,220,44,0,
2023091414MVE00,FOURNITURE ET POSE TABLEAUX VITRINES,331200.0,mobilier_bureau,Appel d'offres ouvert,,,40267356000023,2023-12-28,400,2000,828,166,0,
2023A13L400,QUINCAILLERIE ET CONNEXE,360000.0,materiel_construction,Appel d'offres ouvert,,,40309296800029,2023-12-28,500,10000,720,36,0,
20232023F0007700,"Acquisition, transport et mise en service d'une station de carburant container",59990.0,carburant,Procédure adaptée,,,39500831100056,2023-12-28,1.6,1.8,37494,33328,0,
2023ST03500,ACQUISITION DE VEHICULES LEGERS - MAPA - 3 VÉHICULES LÉGERS HYBRIDE,68229.87,vehicules,Procédure adaptée,,,42814876100029,2023-12-28,30000,120000,2,1,0,
2023A13L700,BOIS ET DERIVES,200000.0,materiel_construction,Appel d'offres ouvert,,,30322778900052,2023-12-28,500,10000,400,20,0,
2023C3F09101AU00,LOT 01 VIANDES SURGELEES,600000.0,alimentaire_restauration,Appel d'offres ouvert,,,31680701501340,2023-12-28,8,20,75000,30000,0,
20232024F0003400,"Fournitures de denrées alimentaires et fournitures diverses pour la commune de Theix-Noyalo - Produits jetables, essuyage, hygiène du personnel, cuisi",7000.0,mobilier_bureau,Appel d'offres ouvert,,,44031947300268,2023-12-28,400,2000,18,4,0,
20232024F0003300,"Fournitures de denrées alimentaires et fournitures diverses pour la commune de Theix-Noyalo - Produits jetables, essuyage, hygiène du personnel, cuisi",7000.0,mobilier_bureau,Appel d'offres ouvert,,,44030355000154,2023-12-28,400,2000,18,4,0,
2023500401,Aménagement d'un square communal au 7 rue Simonnot - 93310 Le Pré Saint-Gervais: Lot 4: ÉCLAIRAGE PUBLIC,47348.0,eclairage,Procédure adaptée,,,48816890700035,2023-12-28,100,1000,473,47,0,
2023AOO00163,Fourniture et livraison d'équipements pédagogiques pour la formation automobile de la Chambre de métiers et de l'artisanat Hauts-de-France: Lot 3: Ser,80000.0,telephonie,Appel d'offres ouvert,6.0,,58558103600019,2023-12-28,500,5000,160,16,0,
20235500,"Location, installation et maintenance copieur GS 4",40000.0,imprimantes,Marché négocié sans publicité ni mise en concurren,,,63201751303320,2023-12-27,800,5000,50,8,2,Sans mise en concurrence
2023V3F35910AU00,LOT 10 FRUITS ET LEGUMES FRAIS 1ERE 4EME ET 5EME GAMME,1680000.0,alimentaire_restauration,Appel d'offres ouvert,,,30819895100052,2023-12-27,8,20,210000,84000,0,
2023M11800,"UTILISATION, MAINTENANCE ET ASSISTANCE DU LOGICIEL ADEQUACY CORPORATE",96656.0,logiciels,Marché négocié sans publicité ni mise en concurren,,,44811688900024,2023-12-27,500,10000,193,10,2,Sans mise en concurrence
202320700,Marché subséquent n° 2 - fourniture de consommables pour solutions de copie et d'impression: Accord cadre,10000.0,imprimantes,Procédure adaptée,2.0,,33365921700041,2023-12-27,800,5000,12,2,0,
2023O4667A04,"Acquisition maintenance serveurs Windows-Linux-Equipements actifs de réseaux, sécurité, téléphonie sur IP et prestations associées-Lot 1- Acquisition ",8000000.0,serveurs,Appel d'offres ouvert,,,81193436300441,2023-12-27,8000,50000,1000,160,1,"Montant eleve (8,000,000 > seuil 5,000,000)"
2023F03250400,LOT4 PEINTURE AQUEUSE,600000.0,materiel_construction,Appel d'offres ouvert,,,50934949400062,2023-12-27,500,10000,1200,60,0,
20232023AP211500,EPICERIES ET BOISSONS,90000.0,vetements_travail,Appel d'offres ouvert,,,47698032100303,2023-12-27,50,200,1800,450,0,
2023V3F35912AU00,LOT 12 FRUITS ET LEGUMES A HAUTE VALEUR ENVIRONNEMENTALE,480000.0,alimentaire_restauration,Appel d'offres ouvert,,,30819895100052,2023-12-27,8,20,60000,24000,0,
202323231M07100,FOURNITURE ET POSE DE BATIMENTS MODULAIRES A USAGE DE BUREAUX ET VESTIAIRES,176584.23,mobilier_bureau,Procédure adaptée,,,89229832400013,2023-12-27,400,2000,441,88,0,
2023F03250200,LOT2 PEINTURE BI COMPOSANT BLANCHE PULVERISEES,200000.0,materiel_construction,Appel d'offres ouvert,,,38376579900143,2023-12-27,500,10000,400,20,0,
2023C3F09102AU00,LOT 02 VIANDE FRAICHE BOEUF VEAU AGNEAU,920000.0,alimentaire_restauration,Appel d'offres ouvert,,,40238454900026,2023-12-27,8,20,115000,46000,0,
202423VH01800100,CAMION POLYBENNE 3.5T,65340.0,vehicules,Procédure adaptée,,,82368781900107,2023-12-27,30000,120000,2,1,0,
2024A60800,Marché de concession des droits d'utilisation d'une licence site pour les logiciels ESRI et prestations associées,350150.0,logiciels,Marché négocié sans publicité ni mise en concurren,,,34849974000028,2023-12-27,500,10000,700,35,2,Sans mise en concurrence
2023C3F09110AU00,LOT 10 FRUITS ET LEGUMES FRAIS 1ERE 4EME ET 5EME GAMME  VILLE /CCAS,640000.0,alimentaire_restauration,Appel d'offres ouvert,,,30819895100052,2023-12-27,8,20,80000,32000,0,
202336820230100,MIGRATION SAAS DE SEDIT RH,62848.0,logiciels,Procédure adaptée,,,75580064600373,2023-12-27,500,10000,126,6,0,
2023C3F09109AU00,LOT 9 FRUITS ET LEGUMES SURGELES VILLE/CCAS,400000.0,alimentaire_restauration,Appel d'offres ouvert,,,55204499202382,2023-12-27,8,20,50000,20000,0,
2023O4668A00,"Acquisition maintenance serveurs Windows-Linux - Equipements actifs de réseaux, sécurité, téléphonie sur IP et prestations associées-Lot 2- acquisitio",5000000.0,serveurs,Appel d'offres ouvert,,,33156643000384,2023-12-27,8000,50000,625,100,0,
2023F03250300,LOT3 PEINTURE SOLVANTEE ET SOLVANTEE VNTP SANS SOLVANT NOCIF,600000.0,materiel_construction,Appel d'offres ouvert,,,38376579900143,2023-12-27,500,10000,1200,60,0,
2023C3F09112AU00,LOT 13 PRÉPARATION SURGELÉES SALÉES SUCRÉES ET GLACES,480000.0,alimentaire_restauration,Appel d'offres ouvert,,,55204499202382,2023-12-27,8,20,60000,24000,0,
20232023F0005700,"Fourniture, livraison et pose de mobiliers pour le hall d'accueil de la piscine de la Guerche de Bretagne",5211.81,mobilier_bureau,Procédure adaptée,,,42133938300091,2023-12-27,400,2000,13,3,0,
2023V3F35902AU00,LOT 02 VIANDE FRAICHE DE BOEUF VEAU ET AGNEAU,1480000.0,alimentaire_restauration,Appel d'offres ouvert,,,40238454900026,2023-12-27,8,20,185000,74000,0,
20232023A0070600,"Affaire 2023-11 - acquisition d'un camion 19 t de ptac, remorqueur, carrossé transports fermés: Accord cadre",136365.0,vehicules,Appel d'offres ouvert,,,30327375900017,2023-12-27,30000,120000,5,1,0,
2024IECOLELOT500,Construction de l'École Élémentaire de la Grande Garennes - LOT 5 : CVC PLOMBERIE,220000.0,chauffage_clim,Procédure adaptée,,,53386930100028,2023-12-27,15000,100000,15,2,0,
2023V3F35906AU00,LOT 06 VIANDE FRAICHE VOLAILLE ET LAPIN,480000.0,alimentaire_restauration,Appel d'offres ouvert,,,30819895100052,2023-12-27,8,20,60000,24000,0,
2023V3F35911AU00,LOT 11 FRUITS ET LEGUMES BIO,960000.0,alimentaire_restauration,Appel d'offres ouvert,,,30819895100052,2023-12-27,8,20,120000,48000,0,
20232023AP210900,"FRUITS, LEGUMES 1ERE, 4EME ET 5EME GAMME, ET POMMES DE TERRE",155000.0,alimentaire_restauration,Appel d'offres ouvert,,,55204499202648,2023-12-27,8,20,19375,7750,0,
2023-F-1100,REMPLACEMENT DES AUTOMATES ET INTEGRATION DE LA SUPERVISION DES STATIONS D?EPURATION DE LA CC7V,277100.0,materiel_labo,Appel d'offres ouvert,,,41482925900061,2023-12-26,5000,50000,55,6,0,
2023M23-075AGG01,M23-075AGG MOBILIER D ARCHIVAGE POUR L ANCIENNE BANQUE DE FRANCE,189224.0,mobilier_bureau,Procédure adaptée,,,33110243400056,2023-12-26,400,2000,473,95,0,
2023M11600,LOGICIEL PRINEO- MAINTENANCE ET ACHAT DE MODULES ET PRESTATIONS COMPLEMENTAIRES,91751.6,logiciels,Marché négocié sans publicité ni mise en concurren,,,41177545500040,2023-12-26,500,10000,184,9,2,Sans mise en concurrence
20231200,Acquisition de droits d'utilisation et installation d'un logiciel auprès du service finances pour le traitement de la gestion financière de la commune,88840.0,logiciels,Procédure adaptée,,,30516304000119,2023-12-26,500,10000,178,9,0,
2024M-2023-08900,LOT 9 - CHAUFFAGE VENTILATION RAFRAICHISSEMENT SANITAIRES,640052.39,chauffage_clim,Procédure adaptée,,,34400116900020,2023-12-26,15000,100000,43,6,0,
202320230940000,LOCATION ET ENTRETIEN DE 3 VÉHICULES FRIGORIFIQUES 23CAS03,107460.0,vehicules,Procédure adaptée,,,30057104900018,2023-12-26,30000,120000,4,1,0,
202314A00,TX aménagement OTI HOURTIN LOT1 Mobilier,57685.52,mobilier_bureau,Procédure adaptée,,,31688131700028,2023-12-26,400,2000,144,29,0,
202300200,Gestion de la restauration scolaire et municipale,480997.16,alimentaire_restauration,Appel d'offres ouvert,,,47718101000729,2023-12-26,8,20,60125,24050,0,
20232024F0000100,"GROUPEMENT DE COMMANDES - FOURNITURE DE PAPIER, MATERIELS ET CONSOMMABLES DE BUREAU ET FOURNITURES SCOLAIRES - RAMETTE DE PAPIER",240000.0,mobilier_bureau,Appel d'offres ouvert,,,44455346500014,2023-12-26,400,2000,600,120,0,
2373100,Hp 1523/1522 et#8211; la gorgue et#8211; rehabilitation energetique et travaux de forage  - 20 logements collectifs et 17 logements individuels: Lot 3,816893.0,chauffage_clim,Procédure adaptée,2.0,,51069673500032,2023-12-26,15000,100000,54,8,0,
23020200,Achat de véhicules de service urbains écologiques,99500.0,vehicules,Marché passé sans publicité ni mise en concurrence,1.0,,88750249000014,2023-12-26,30000,120000,3,1,4,Sans mise en concurrence | Fournisseur unique (1.0 offre)
202323A06700100,ACQUISITION DE VAISSSELLE ET ARTICLES POUR LA CUISINE ET LA TABLE,60000.0,mobilier_bureau,Procédure adaptée,,,42446088900019,2023-12-26,400,2000,150,30,0,
24988763,"Acquisition, intégration et maintenance d'une solution logicielle de rapprochement de l'offre et de la demande de logements locatifs",241350.0,logiciels,Appel d'offres ouvert,4.0,,75336986700035,2023-12-25,500,10000,483,24,0,
2024M-2023-0500,"LOCATION, INSTALLATION et MAINTENANCE DE COPIEURS MULTIFONCTIONS CONNECTES",41666.66,imprimantes,Procédure adaptée,,,33332163600586,2023-12-24,800,5000,52,8,0,
20232023088-100,"Maintenance BPU bornes escamotable,des barrières levantes et des poutres levantes motorisées",110000.0,reseau,Procédure adaptée,,,57207890500021,2023-12-23,2000,20000,55,6,0,
20232023F0006000,"Achat de pièces de rechange VL-VU et achat de pièces de rechange et/ou réparations pour camions, tracteurs, débrousailleuses, porte-outils, chargeuses",160000.0,vehicules,Appel d'offres ouvert,,,33212303300018,2023-12-22,30000,120000,5,1,0,
202412TU00,202312 ACQUISITION CAMION ORDURES MENAGERES D'OCCASION,110000.0,vehicules,Procédure adaptée,,,43359903200045,2023-12-22,30000,120000,4,1,0,
