id,objet,montant,categorie,procedure,offres_recues,acheteur_nom,titulaire_siret,date,prix_ref_moyen,prix_ref_max,unites_estimees_prix_moyen,unites_estimees_prix_max,suspicion_score,raisons_alerte
23020200,Achat de véhicules de service urbains écologiques,99500.0,vehicules,Marché passé sans publicité ni mise en concurrence,1.0,,88750249000014,2023-12-26,30000,120000,3,1,4,Sans mise en concurrence | Fournisseur unique (1.0 offre)
2023000000032500,ASSIST MAINT PRESTAT ACHAT MODULES PROGICIELS SOLIS SOLATIS,1500000.0,logiciels,Marché négocié sans publicité ni mise en concurren,,,38251931200088,2023-12-20,500,10000,3000,150,3,"Sans mise en concurrence | Montant eleve (1,500,000 > seuil 500,000)"
2023200700,"Maintenances, acquisitions, évolutions et prestations associées relatives aux progiciels de gestion des ressources humaines",600000.0,logiciels,Marché négocié sans publicité ni mise en concurren,,,34054699300668,2023-12-06,500,10000,1200,60,3,"Sans mise en concurrence | Montant eleve (600,000 > seuil 500,000)"
202324502CA00,ACQUISITION 6 AUTOBUS SAFRA HYCITY 12 M,4524215.36,vehicules,Marché négocié sans publicité ni mise en concurren,,,77605646700587,2023-12-19,30000,120000,151,38,2,Sans mise en concurrence
249931955,Contrat d'entretien des installations des résidences du patrimoine de Brive Habitat: Lot 05: chauffage individuel ventilation,1183720.0,chauffage_clim,Appel d'offres ouvert,1.0,,40970727000032,2023-12-12,15000,100000,79,12,2,Fournisseur unique (1.0 offre)
2023147 FS00,Pièces véhicules lourds,600000.0,vehicules,Marché négocié sans publicité ni mise en concurren,,,89129465400068,2023-12-15,30000,120000,20,5,2,Sans mise en concurrence
202322N0864-0000,FF - MAINTENANCE DU LOGICIEL MUNICIPOL POUR LA GESTION DE LA POLICE MUNICIPALE ET MODULES ASSOCIES,400000.0,logiciels,Marché négocié sans publicité ni mise en concurren,,,48125959600023,2023-12-12,500,10000,800,40,2,Sans mise en concurrence
2024A60800,Marché de concession des droits d'utilisation d'une licence site pour les logiciels ESRI et prestations associées,350150.0,logiciels,Marché négocié sans publicité ni mise en concurren,,,34849974000028,2023-12-27,500,10000,700,35,2,Sans mise en concurrence
243197,"Maintenance des réseaux et des installations de fluides médicaux, mise à disposition et acquisition de groupes de vide: Lots 03 et 04",221127.0,reseau,Marché passé sans publicité ni mise en concurrence,4.0,,38188680300042,2023-12-20,2000,20000,111,11,2,Sans mise en concurrence
2024000023SF0400,GSI - ACQUISITION MAINTENANCE PRESTATIONS ET EVOLUTIONS AUTOUR DE GIMA OFFICE SUITE ET GIMA DIGITAL SUITE,220000.0,logiciels,Marché négocié sans publicité ni mise en concurren,,,34054699300668,2023-12-15,500,10000,440,22,2,Sans mise en concurrence
