type_anomalie,id,objet,montant,codecpv,procedure,acheteur_id,acheteur_nom,titulaire_siret,date,offres_recues
Sans concurrence,20220922105100,FOURNITURE AUTOBUS ARTICULES ELECTRIQUES,120000000.0,34144910-0,Marché négocié sans publicité ni mise en concurrence préalable,24440064400013,,41968381800027,2023-12-22,
Sans concurrence,2024323500,Fourniture de spécialités pharmaceutiques au profit des adhérents du GCS GRAPS Grand Est - marchés négociés lot 1248,100215648.0,33600000-6,Marché passé sans publicité ni mise en concurrence préalable,13002682600011,,,2023-12-21,
Sans concurrence,243235,Fourniture de spécialités pharmaceutiques au profit des adhérents du GCS GRAPS Grand Est - marchés négociés lot 1248,100215648.0,33600000-6,Marché passé sans publicité ni mise en concurrence préalable,13002682600011,,,2023-12-20,1.0
Fournisseur unique,24997134,Marché global de performance pour la conception et la réalisation de travaux et l'exploitation de l'usine de valorisation énergétique des déchets du S,68504538.0,90513000-6,Procédure avec négociation,20006232100019,,41030348100304,2023-12-21,1.0
Sans concurrence,2023S1167400,RESTAURATION COLLECTIVE LOT 1 SCOL PERI,26000000.0,55321000-6,Marché négocié sans publicité ni mise en concurrence préalable,21930048000015,,25930032500018,2023-12-20,
Sans concurrence,20232023S0003300,"Convention de participation portant sur le risque prévoyance, accompagnée de son contrat collectif d’assurance à adhésion facultative des agents",10000000.0,66500000-5,Marché passé sans publicité ni mise en concurrence préalable,22350001800013,,77567858403070,2023-12-18,
Sans concurrence,20232304100,Fourniture gestion livraison de titres restaurants - Titres restaurant dématérialisé personnel salarié,5520000.0,30199770-8,Marché négocié sans publicité ni mise en concurrence préalable,28974011000019,,64204436600242,2023-12-29,
Sans concurrence,243227,"Fourniture de spécialités pharmaceutiques au profit des adhérents du GCS GRAPS Grand Est - marchés négociés lots 826, 877, 880, 898, 899, 900, 901, 90",5267186.0,33600000-6,Marché passé sans publicité ni mise en concurrence préalable,13002682600011,,39136097100058,2023-12-20,1.0
Sans concurrence,202305700,ASSURANCE FLOTTE VÉHICULES ET RISQUES ANNEXES - RELANCE,4726909.98,66514110-0,Marché négocié sans publicité ni mise en concurrence préalable,28770831700014,,30130960500410,2023-12-26,
Sans concurrence,202324502CA00,ACQUISITION 6 AUTOBUS SAFRA HYCITY 12 M,4524215.36,34121000-1,Marché négocié sans publicité ni mise en concurrence préalable,20003986500106,,77605646700587,2023-12-19,
Fournisseur unique,249896032,Transports collectifs pour les activités organisées par la Ville de Marcq-en-Baroeul: Lot 2: Rotations intra-muros ponctuelles,2800000.0,60000000-8,Appel d'offres ouvert,21590378200013,,4705017400086,2023-12-20,1.0
Fournisseur unique,24999724,"MARCHE PUBLIC GLOBAL DE PERFORMANCE ENERGETIQUE POUR LE MAINTIEN DE LA FIABILITE, DE LA PERENNITE ET DE LA PERFORMANCE ENERGETIQUES DES INSTALLATIONS ",2688000.0,50720000-8,Dialogue compétitif,33791211700047,,84034191100013,2023-12-28,1.0
Sans concurrence,24202306700,Concours Restreint de Maitrise d'oeuvre pour la Réalisation d'un ensemble immobilier et aménagements Avenue Anatole France sur la Commune de La Valett,2681137.0,71000000-8,Marché passé sans publicité ni mise en concurrence préalable,52323930900017,,32647672800034,2023-12-22,1.0
Sans concurrence,202323DTM61300,Transport ferroviaire des élèves pris en charge pour la Collectivité de Corse au titre des transports scolaires sur le trajet Bastia-Casamozza-Bastia ,2540032.0,60210000-3,Marché négocié sans publicité ni mise en concurrence préalable,20007695800012,,98158374300019,2023-12-28,
Sans concurrence,202398720400,"Fourniture de spécialités pharmaceutiques au profit des adhérents du GCS GRAPS Grand Est - marchés négociés lots 1670, 1671, 1672",2521158.0,33600000-6,Marché passé sans publicité ni mise en concurrence préalable,13002682600011,,53445668600045,2023-12-21,
Sans concurrence,243237,"Fourniture de spécialités pharmaceutiques au profit des adhérents du GCS GRAPS Grand Est - marchés négociés lots 1670, 1671, 1672",2521158.0,33600000-6,Marché passé sans publicité ni mise en concurrence préalable,13002682600011,,53445668600045,2023-12-20,1.0
Sans concurrence,202307001,Réhabilitation Hôtel de Ville,2442072.0,45453100-8,Marché passé sans publicité ni mise en concurrence préalable,21950487500010,,37988219400028,2023-12-20,2.0
Sans concurrence,202323N0365-0000,BB DIFFUSION ENCARTS PUB NICE MATIN VAR MATIN ET SUPPLEMENTS,2400000.0,79341000-6,Marché négocié sans publicité ni mise en concurrence préalable,20003019500115,,80785659600018,2023-11-28,
Sans concurrence,2023Z230614N0000,Z230614N00 LOT 1 ASSURANCE RESPONSABILITE CIVILE ET RISQUES ANNEXES,2386872.32,66510000-8,Marché négocié sans publicité ni mise en concurrence préalable,20005480700017,,83381722400029,2023-12-26,
Sans concurrence,2024001202,MN MED CUTAQUIG,2250005.0,33600000-6,Marché négocié sans publicité ni mise en concurrence préalable,26310012500016,,45132730800024,2023-12-22,
Sans concurrence,2023M11700,ASSURANCE DOMMAGES AUX BIENS ET RISQUES ANNEXES,2075289.72,66515200-5,Marché négocié sans publicité ni mise en concurrence préalable,21920026800015,,83381722400029,2023-12-28,
