id,objet,famille,type_marche,type_avis,procedure,acheteur,titulaire,departement,date_parution,url_avis
26_26122,La fourniture et la livraison d'un banc de charge résistif et inductif au profit de la Base Navale Port des Galets,Marchés européens,FOURNITURES, | 10 | 6,Procédure Négociée,DICOM FAZSOI,Société de vente en matériel et outillage industriel (SVMOI),974,2026-03-15,https://www.boamp.fr/pages/avis/?q=idweb:26-26122
26_26181,RELANCE LOT 2 - CALCULATRICES SCIENTIFIQUES POUR LES ELEVES DE 6EME DE L'ACCORD CADRE POUR L'ACHAT ET LIVRAISON DE KITS DE FOURNITURES SCOLAIRES A DESTINATION DES COLLEGIENS DES BOUCHES-DU-RHONE,Marchés européens,FOURNITURES, | 10 | 6,Procédure Ouverte,DEPARTEMENT DES BOUCHES-DU-RHONE,CALCUSO,13,2026-03-15,https://www.boamp.fr/pages/avis/?q=idweb:26-26181
26_26089,Localisation des ouvrages et réseaux enterrés et géoréférencement,Marchés européens,SERVICES, | 10 | 6,Procédure Ouverte,Département de la Dordogne,DETECT RESEAUX GIRONDE,24,2026-03-15,https://www.boamp.fr/pages/avis/?q=idweb:26-26089
26_26460,"Balisage de sécurité pour fermeture des tunnels routiers et assistance technique durant les fermetures sur le territoire de la Métropole
Aix-Marseille-Provence",Marchés européens,SERVICES, | 10 | 6,Procédure Ouverte,Métropole Aix-Marseille-Provence,MONACHINO STEPHANE,13 | 84 | 83,2026-03-15,https://www.boamp.fr/pages/avis/?q=idweb:26-26460
26_26326,"Enlèvement, transport et valorisation des cendres d'incinération de boues d'épuration urbaines sur le site de la Station d'Épuration de Pierre Bénite",Marchés européens,SERVICES, | 10 | 6,Procédure Ouverte,Métropole de Lyon,SUEZ EAU FRANCE,69,2026-03-15,https://www.boamp.fr/pages/avis/?q=idweb:26-26326
26_26595,"TRAVAUX D'ENTRETIEN, DE RÉPARATION, DE RENOUVELLEMENT ET D'EXTENSION DES RÉSEAUX D'EAU POTABLE, D'EAUX USÉES, D'EAUX PLUVIALES",Marchés européens,TRAVAUX, | 10 | 6,Procédure Ouverte,SPL SOCIETE DES EAUX DU NIORTAIS groupement de commande SPL SEN et Communauté d'Agglomération du Niortais,SADE CGHT | DUBREUILH SAS | SAS BONNEAU ET FILS | SAS TTPI RESEAUX | SCAM TP,79,2026-03-15,https://www.boamp.fr/pages/avis/?q=idweb:26-26595
26_26208,Fourniture et livraison de granulats pour usage routier (4 lots),Marchés européens,FOURNITURES, | 10 | 6,Procédure Ouverte,Département de la Savoie,NEXSTONE | SMAG | NEXSTONE | SMAG,73,2026-03-15,https://www.boamp.fr/pages/avis/?q=idweb:26-26208
26_26222,"Accord-cadre à bons de commande relatif à la maintenance des alarmes intrusion, des alarmes incendie et désenfumage asservi, contrôle d'accés des bâtiments de la Ville de Perpignan",Marchés européens,SERVICES, | 10 | 6,Procédure Ouverte,Mairie de Perpignan,ELECTRICITE INDUSTRIELLE JP FAUCHE | ELECTRICITE INDUSTRIELLE JP FAUCHE | ELECTRICITE INDUSTRIELLE JP FAUCHE,66,2026-03-15,https://www.boamp.fr/pages/avis/?q=idweb:26-26222
26_26294,Concours restreint de maîtrise d'oeuvre pour la reconstruction de l'E.P.A.J.G. Centre bourg à Gradignan,Marchés européens,SERVICES, | 10 | 6,Procédure Restreinte,VILLE DE GRADIGNAN,S.A.R.L. DAUPHINS ARCHITECTURE | S.A.R.L. GUILLAUME RAMILLIEN ARCHITECTURE,33,2026-03-15,https://www.boamp.fr/pages/avis/?q=idweb:26-26294
26_26787,Concours de maîtrise d'oeuvre dans le cadre de la requalification de la Place Reggio à Bar-le-Duc,Marchés européens,SERVICES, | 10 | 6,Procédure Restreinte,Ville de Bar-le-Duc,HAIKU ARCHITECTURE,55 | 8 | 10 | 51,2026-03-15,https://www.boamp.fr/pages/avis/?q=idweb:26-26787
