id,objet,montant,codecpv,categorie_cpv,procedure,datenotification,acheteur_id,acheteur_nom,titulaire_siret,offres_recues,lieu,formeprix
20230030100,FOURN. MATERIELS-LOGICIELS INFO ET CONSOLES JEUX - MATERIELS - LOGICIELS INFORMATIQUE,3000000.0,30200000-1,Informatique & bureautique,Appel d'offres ouvert,2023-12-31,21920076300015,,42978416800065,,VAUCRESSON,Révisable
20230037201,FOURNITURE DE LIVRES IMPRIMES NON SCOLAIRES - LIVRES JEUNESSE FICTION ET DOCUMENTAIRES,80000.0,22113000-5,Imprimés,Appel d'offres ouvert,2023-12-31,21920076300015,,38276586500011,,VAUCRESSON,Révisable
202424NA10C100,FRUITS ET LEGUMES,50000.0,15000000-8,Alimentaire,Appel d'offres ouvert,2023-12-31,21400312100016,,82867642900032,,TARNOS,Révisable
2023F060100,FOURNITURE DE PAIN ET VIENNOISERIES FRAIS,184000.0,15810000-9,Alimentaire,Procédure adaptée,2023-12-31,21720003900014,,83276022700013,,ALLONNES,Révisable
2023AO18100,PRESTATION DE SERVICES DE TÉLÉCOMMUNICATION - TÉLÉPHONIE FIXE ET TRUNK SIP,120000.0,32412100-5,Télécommunications,Appel d'offres ouvert,2023-12-31,21330449600010,,39748093003498,,SAINT-MEDARD-EN-JALLES,Révisable
2023AO18200,PRESTATION DE SERVICES DE TÉLÉCOMMUNICATION - TÉLÉPHONIE MOBILE,100000.0,32250000-0,Télécommunications,Appel d'offres ouvert,2023-12-31,21330449600010,,39748093003498,,SAINT-MEDARD-EN-JALLES,Révisable
20230037301,FOURNITURE DE LIVRES IMPRIMES NON SCOLAIRES - BANDES DESSINEES ADULTE ET JEUNESSE,50000.0,22113000-5,Imprimés,Appel d'offres ouvert,2023-12-31,21920076300015,,38276586500011,,VAUCRESSON,Ferme et actualisable
20230037101,FOURNITURE DE LIVRES IMPRIMES NON SCOLAIRES -  LIVRES ADULTE FICTION ET DOCUMENTAIRES,110000.0,22113000-5,Imprimés,Appel d'offres ouvert,2023-12-31,21920076300015,,38276586500011,,VAUCRESSON,Révisable
2024016400,"Maintenance du parc d?équipements dont la société BERNAS MEDICAL assure la maintenance exclusive incluant la fourniture de pièces détachées, accessoires et consommables ainsi que la réalisation de prestations associées",300005.0,33100000-1,Matériel médical,Marché négocié sans publicité ni mise en concurrence préalable,2023-12-31,26310012500016,,41832957900035,,Occitanie,Révisable
2023AO27300,"FOURNITURE BARQUETTE,FILMS,CONTENANT CUISINE CENTR - SACS, FILM, PAPIER ALU, SACHETS",60000.0,39222100-5,Mobilier & ménager,Appel d'offres ouvert,2023-12-31,21330449600010,,37798160000044,,SAINT-MEDARD-EN-JALLES,Révisable
202312800,"MDI/2023-128/Lot7/Abonnement, accès en ligne et fourniture de ressources documentaires numériques pour le Département de l'Isère et la Ville de Grenoble",60000.0,30211300-4,Informatique & bureautique,Appel d'offres ouvert,2023-12-30,22380001200013,,82312486200017,,GRENOBLE,Ferme
2023091414MVG00,FOURNITURE DE MOBILIER MEDIATHEQUES,100000.0,39100000-3,Mobilier & ménager,Appel d'offres ouvert,2023-12-30,24440064400013,,38365393800027,,SAINT JOACHIM,Révisable
2023091414MVG00,FOURNITURE DE MOBILIER MEDIATHEQUES,900000.0,39100000-3,Mobilier & ménager,Appel d'offres ouvert,2023-12-30,21440184600016,,38365393800027,,SAINT-NAZAIRE,Révisable
2024071200,24M02 GAULOYS FRESENIUS KABI,224492.85,33000000-0,Matériel médical,Appel d'offres ouvert,2023-12-29,26690025700046,,41987578600032,,Rhone,Révisable
2374700,"Accord-cadre a bons de commandes pour les travaux sur les reseaux d'interphonie, de controle d'acces et videosurveillance sur le patrimoine de flandre opale habitat: Lot 2 : INTERPHONIE et#8211, CONTROLE Det#8217,ACCES et#8211, TERRITOIRE INTERIEUR",38348.0,32360000-4,Télécommunications,Procédure adaptée,2023-12-29,61682020500154,,41838583700020,3.0,,Forfaitaire
2375100,"Accord-cadre a bons de commandes pour les travaux sur les reseaux d'interphonie, de controle d'acces et videosurveillance sur le patrimoine de flandre opale habitat: Lot 6 : VIDEOSURVEILLANCE et#8211, DEPARTEMENT 59",96406.0,32323500-8,Télécommunications,Procédure adaptée,2023-12-29,61682020500154,,44082093400014,3.0,,Forfaitaire
2374900,"Accord-cadre a bons de commandes pour les travaux sur les reseaux d'interphonie, de controle d'acces et videosurveillance sur le patrimoine de flandre opale habitat: Lot 4 : INTERPHONIE et#8211, CONTROLE Det#8217,ACCES et#8211, TERRITOIRE DUNKERQUE",56149.0,32360000-4,Télécommunications,Procédure adaptée,2023-12-29,61682020500154,,44082093400014,3.0,,Forfaitaire
2024071100,24M02 GAULOYS VIFOR France ALLOGA,5437082.9,33000000-0,Matériel médical,Appel d'offres ouvert,2023-12-29,26690025700046,,39891369900045,,Rhone,Révisable
20242301000000,LOCATION ET ENTRETIEN DE VETEMENTD DE TRAVAIL DES AGENTS,150000.0,18100000-0,Vêtements,Procédure adaptée,2023-12-29,21370156800015,,37975368400016,,MONTLOUIS SUR LOIRE,Révisable
