id,objet,montant,codecpv,procedure,nature,datenotification,dureemois,formeprix,acheteur_id,acheteur_nom,titulaire_id_1,titulaire_denominationsociale_2,offresrecues,lieuexecution_nom,lieuexecution_code,lieuexecution_typecode,source
20232023090400,TRAVAUX RENOVATION PETITES FORGES - LOT 4 MENUISERIE,43192.5,45421000-4,Procédure adaptée,Marché,2024-02-08,8,Révisable,21210038200010,,43602011900018,,,Auxonne,,,data.gouv.fr_pes
249884962,Formation réglementaire initiale et continue des pompiers et chefs de manoeuvre des Services de sauvetage et de lutte contre l'incendie des aéronefs sur les aérodromes (SSLIA) de la SPLAR: Lot 2: Auto-formation à distance (E-LEARNING),32000.0,80530000-8,Procédure adaptée,Marché,2024-01-11,24,Unitaire,85282836700015,,75223022700023,,2.0,,,,e-marchespublics
202319B5R300,TRAVAUX ER - GRPT SGER2/ELECTRA ZONE B5,150450.0,09310000-5,Appel d'offres ouvert,Accord-cadre,2023-12-31,12,Révisable,25974102300024,,49367150700017,ETSSGER2,,REUNION,,,data.gouv.fr_pes
20230033100,AMENAGEMENT MAISON MEDICALE - DEMOLITION - MACONNERIE - PLATERIE - CARRELAGE,46706.6,45111100-9,Procédure adaptée,Marché,2023-12-31,3,Révisable,21920076300015,,30404732700024,,,VAUCRESSON,,,data.gouv.fr_pes
2023000000008500,PRESTATION DE NETTOYAGE DES LOCAUX COMMUNAUX- PRESTATIONS DE NETTOYAGE DU PARC OLYMPIQUE - LOT 4,600000.0,90911200-8,Appel d'offres ouvert,Accord-cadre,2023-12-31,48,Ferme,21730015100016,,50768872900015,,,Les Allues,,,data.gouv.fr_pes
202319B7R100,TRAVAUX ER - REEL ZONE B7,1017450.0,09310000-5,Appel d'offres ouvert,Accord-cadre,2023-12-31,12,Révisable,25974102300024,,32397354500037,,,REUNION,,,data.gouv.fr_pes
202319B7R200,TRAVAUX ER - E2R ZONE B7,481950.0,09310000-5,Appel d'offres ouvert,Accord-cadre,2023-12-31,12,Révisable,25974102300024,,44080608100046,,,REUNION,,,data.gouv.fr_pes
202319C9R100,TRAVAUX ER - TESTONI ZONE C9,1238570.55,09310000-5,Appel d'offres ouvert,Accord-cadre,2023-12-31,12,Révisable,25974102300024,,34027049500021,,,REUNION,,,data.gouv.fr_pes
2023202309L0200,gros oeuvre cabinet medical,117461.08,45111291-4,Procédure adaptée,Marché,2023-12-31,4,Ferme et actualisable,21370226900019,,38919339200039,,,SAINTE MAURE DE TOURAINE,,,data.gouv.fr_pes
2024 LOT 400,enlèvement et traitement des déchets ménagers dangereux sur les 3 déchetteries (hors ECO DDS),41971.97,INX 28213700-5,Appel d'offres ouvert,Marché,2023-12-31,36,Ferme,20006750200092,,69688017800129,,,Saint-Avold,,,data.gouv.fr_pes
202319A1R200,TRAVAUX ER - E2R ZONE A1,446962.5,09310000-5,Appel d'offres ouvert,Accord-cadre,2023-12-31,12,Révisable,25974102300024,,44080608100046,,,REUNION,,,data.gouv.fr_pes
202319B8R100,TRAVAUX ER - GRPT SGER2/ELECTRA ZONE B8,465000.0,09310000-5,Appel d'offres ouvert,Accord-cadre,2023-12-31,12,Révisable,25974102300024,,49367150700017,ETSSGER2,,REUNION,,,data.gouv.fr_pes
202319A2R300,TRAVAUX ER - E2R ZONE A2,468000.0,09310000-5,Appel d'offres ouvert,Accord-cadre,2023-12-31,12,Révisable,25974102300024,,44080608100046,,,REUNION,,,data.gouv.fr_pes
20230030100,FOURN. MATERIELS-LOGICIELS INFO ET CONSOLES JEUX - MATERIELS - LOGICIELS INFORMATIQUE,3000000.0,30200000-1,Appel d'offres ouvert,Accord-cadre,2023-12-31,72,Révisable,21920076300015,,42978416800065,,,VAUCRESSON,,,data.gouv.fr_pes
2023004400,ANIMATION ET MEDIATION JEUNES,174000.0,92000000-1,Procédure adaptée,Marché,2023-12-31,60,Révisable,21920076300015,,88828368600010,,,VAUCRESSON,,,data.gouv.fr_pes
20232024S0000700,Collecte et traitement de déchets en déchèterie et aux points d'apports volontaires - Collecte et traitement des gravats et déchets inertes,192000.0,90512000-9,Appel d'offres ouvert,Accord-cadre,2023-12-31,48,Révisable,24290071000078,,34371261800010,,,(29) Finistère,,,megalis-bretagne
2023165A00,COL BLETTERANS EXTENSION INFIRMERIE ET ADAPTATIONS PMR LOT 01,43519.42,45262660-5,Procédure adaptée,Marché,2023-12-31,12,Révisable,22390001000362,,84822369900028,,,COL BLETTERANS,,,data.gouv.fr_pes
202361022200,Lot 2 accord-cadre signalisation horizontale verti,144000.0,45233294-6,Procédure adaptée,Accord-cadre,2023-12-31,48,Ferme,24600075600162,,42189620000613,MRMME SIGNATURE SA,,NOYON,,,data.gouv.fr_pes
20232023S0000100,SERVICES D’ASSURANCES POUR  LE CENTRE COMMUNAL D’ACTION SOCIALE  DE QUEVEN,47639.2,66512000-2,Appel d'offres ouvert,Marché,2023-12-31,48,Révisable,26560254000014,,33517109600043,,,(56) Morbihan,,,megalis-bretagne
20230037201,FOURNITURE DE LIVRES IMPRIMES NON SCOLAIRES - LIVRES JEUNESSE FICTION ET DOCUMENTAIRES,80000.0,22113000-5,Appel d'offres ouvert,Accord-cadre,2023-12-31,12,Révisable,21920076300015,,38276586500011,,,VAUCRESSON,,,data.gouv.fr_pes
202319A2R100,TRAVAUX ER - REEL ZONE A2,1579500.0,09310000-5,Appel d'offres ouvert,Accord-cadre,2023-12-31,12,Révisable,25974102300024,,32397354500037,,,REUNION,,,data.gouv.fr_pes
202424NA10C100,FRUITS ET LEGUMES,50000.0,15000000-8,Appel d'offres ouvert,Accord-cadre,2023-12-31,1,Révisable,21400312100016,,82867642900032,,,TARNOS,,,data.gouv.fr_pes
2023C2306700,Mesures de déflexions au déflectographe sur les routes départementales,69413.65,71630000-3,Procédure adaptée,Marché,2023-12-31,3,Ferme,22720002900014,,13001831000222,,,SARTHE,,,data.gouv.fr_pes
2023168A00,COL BLETTERANS - EXTENSION INFIRMERIE ET ADAPTATIONS PMR - LOT 04,48029.85,45421000-4,Procédure adaptée,Marché,2023-12-31,12,Révisable,22390001000362,,64715049900018,,,COL BLETTERANS,,,data.gouv.fr_pes
202319B8R200,TRAVAUX ER - GRPT ATS/DEBELEC/KYNTUS ZONE B8,297600.0,09310000-5,Appel d'offres ouvert,Accord-cadre,2023-12-31,12,Révisable,25974102300024,,51361628400024,,,REUNION,,,data.gouv.fr_pes
202319A4R100,TRAVAUX ER - REEL ZONE A4,795600.0,09310000-5,Appel d'offres ouvert,Accord-cadre,2023-12-31,12,Révisable,25974102300024,,32397354500037,,,REUNION,,,data.gouv.fr_pes
20232023S0005100,Collecte et traitement de déchets en déchèterie et aux points d'apports volontaires - Collecte des papiers/journaux/magazines/cartons et transport jusqu'au centre de transfert et/ou centre de tri (possibilité de regroupement éventuel avant transport),297600.0,90512000-9,Appel d'offres ouvert,Accord-cadre,2023-12-31,48,Révisable,24290071000078,,51895847500023,,,(29) Finistère,,,megalis-bretagne
20232023S0005000,Collecte et traitement de déchets en déchèterie et aux points d'apports volontaires - Collecte des emballages multimatériaux et transport jusqu'au centre de tri,921600.0,90512000-9,Appel d'offres ouvert,Accord-cadre,2023-12-31,48,Révisable,24290071000078,,34426370200641,,,(29) Finistère,,,megalis-bretagne
2023003200,MARCHE DE PRESTATION DE REGIE PUBLICITAIRE,58800.0,79341000-6,Procédure adaptée,Marché,2023-12-31,60,Ferme,21920076300015,,81497816900021,,,VAUCRESSON,,,data.gouv.fr_pes
202319C9R300,TRAVAUX ER - GRPT SGER2/ELECTRA ZONE C1,404431.2,09310000-5,Appel d'offres ouvert,Accord-cadre,2023-12-31,12,Révisable,25974102300024,,49367150700017,ETSSGER2,,REUNION,,,data.gouv.fr_pes
2023AO23100,IMPRESSIONS ET SERVICES CONNEXES - MAGAZINE MUNICIPAL,340000.0,79800000-2,Appel d'offres ouvert,Marché,2023-12-31,37,Ferme et actualisable,21330449600010,,33792674500031,,,SAINT-MEDARD-EN-JALLES,,,data.gouv.fr_pes
202319A4R300,TRAVAUX ER - BAGELEC ZONE A4,290700.0,09310000-5,Appel d'offres ouvert,Accord-cadre,2023-12-31,12,Révisable,25974102300024,,44335528400011,,,REUNION,,,data.gouv.fr_pes
2023M202310100,PRESTATION DE SERVICE ASSURANCE PREVOYANCE STATUTAIRE,319365.0,66510000-8,Appel d'offres ouvert,Marché,2023-12-31,60,Révisable,21770514400012,,31124863700804,,,VILLEPARISIS,,,data.gouv.fr_pes
2023177A00,CD SIEGE - REFECTION ETANCHEITE DE LA TERRASSE - LOT 01,349515.36,45261420-4,Procédure adaptée,Marché,2023-12-31,10,Révisable,22390001000362,,30689637400320,,,CD,,,data.gouv.fr_pes
2023172A00,COL BLETTERANS - EXTENSION INFIRMERIE ET ADAPTATIONS PMR - LOT 08,87802.0,45311200-2,Procédure adaptée,Marché,2023-12-31,12,Révisable,22390001000362,,50152387200023,,,COL BLETTERANS,,,data.gouv.fr_pes
202319C9R200,TRAVAUX ER - BAGELEC ZONE C9,884693.25,09310000-5,Appel d'offres ouvert,Accord-cadre,2023-12-31,12,Révisable,25974102300024,,44335528400011,,,REUNION,,,data.gouv.fr_pes
202319A1R300,TRAVAUX ER - BAGELEC  ZONE A1,339075.0,09310000-5,Appel d'offres ouvert,Accord-cadre,2023-12-31,12,Révisable,25974102300024,,44335528400011,,,REUNION,,,data.gouv.fr_pes
