siren,siret,nom,nature_juridique,activite_principale,libelle_activite,tranche_effectifs,date_creation,adresse,commune,departement,nombre_etablissements,est_association,est_ess,nb_marches,total_marches_eur,marches_sans_concurrence
556150175,55615017500280,PIGEON TP LOIRE ANJOU,5710,42.11Z,,32,1961-01-01,L'AUBINIERE RTE DE CRAON 53800 RENAZE,RENAZE,53,25,False,False,3,258615353.0,0
329338883,32933888301136,COLAS FRANCE,5710,42.11Z,,53,1984-01-01,1 RUE DU COLONEL PIERRE AVIA 75015 PARIS,PARIS,75,564,False,False,2,258229429.0,0
447754086,44775408600018,GUINTOLI,5710,43.12B,,51,2003-03-14,D'ACTIVITES DE LAURADE 13103 SAINT-ETIENNE-DU-GRES,SAINT-ETIENNE-DU-GRES,13,39,False,False,3,258186990.8,0
412397234,41239723400029,EUROVIA ATLANTIQUE,5710,42.11Z,,41,1997-05-30,20 RUE DE BEL AIR 44470 CARQUEFOU,CARQUEFOU,44,29,False,False,2,258099000.0,0
442395448,44239544800057,TOTALENERGIES ELECTRICITE ET GAZ FRANCE,5599,35.14Z,,41,2002-06-01,2 B RUE LOUIS ARMAND 75015 PARIS,PARIS,75,10,False,False,20,183863852.93,0
529040677,52904067700567,ERYMA SAS,5710,80.20Z,,41,2010-12-07,143 AVENUE DE VERDUN 92130 ISSY-LES-MOULINEAUX,ISSY-LES-MOULINEAUX,92,79,False,False,2,150000000.0,0
435106307,43510630700034,GREINER BIO ONE SAS,5710,46.69B,,12,2001-03-20,3 A 7 3 AVENUE DU CAP-HORN 91940 LES ULIS,LES ULIS,91,3,False,False,3,134856000.0,0
814598785,81459878500024,TRANSDEV NIORT AGGLOMERATION,5710,49.31Z,,22,2015-10-26,41 RUE BLAISE PASCAL 79000 NIORT,NIORT,79,3,False,False,1,133889875.0,0
419683818,41968381800027,IVECO FRANCE,5710,29.10Z,,42,1998-07-23,PORTE E 1 RUE DES COMBATS DU 24 AOUT 44 69200 VENISSIEUX,VENISSIEUX,69,29,False,False,1,120000000.0,1
484170832,48417083200022,DOMISERVE,5710,66.19B,,21,2005-09-05,106 AVENUE MARX DORMOY 92120 MONTROUGE,MONTROUGE,92,3,False,False,1,112000000.0,0
582118675,58211867500054,ALLOGA FRANCE,5710,46.46Z,,41,1958-01-01,40 BOULEVARD DE DUNKERQUE 13002 MARSEILLE,MARSEILLE,13,14,False,False,4,111503618.92999999,0
789740768,78974076800013,VOLTERRES,5710,35.13Z,,12,2012-12-03,36 RUE BRUNEL 75017 PARIS,PARIS,75,4,False,False,3,98607920.0,0
775664873,77566487304147,BOUYGUES ENERGIES & SERVICES (BOUYGUES ENERGIES & SERVICES),5710,43.21A,,51,1900-01-01,1 AVENUE EUGENE FREYSSINET 78280 GUYANCOURT,GUYANCOURT,78,425,False,False,10,89325531.52999999,0
410303481,41030348100304,GENERIS,5710,38.21Z,,31,1996-12-16,IMMEUBLE DUFY 1 1 PLACE DE TURENNE 94410 SAINT-MAURICE,SAINT-MAURICE,94,36,False,False,2,84863892.56,0
316807015,31680701501340,SYSCO FRANCE SAS,5710,46.39B,,51,1979-01-01,MIN DE RUNGIS BATIMENT A1 RPT DES ROSES 94550 CHEVILLY LARUE,CHEVILLY LARUE,94,137,False,False,49,84755714.88,0
340670777,34067077700044,SOCIETE D'EXPLOITATION DISVAL ET DS RHONE-ALPES (DISVAL) (DISVAL DS RHONE-ALPE),5710,46.39A,,32,1987-01-01,47 RUE DU CLOS RENARD 45110 CHATEAUNEUF-SUR-LOIRE,CHATEAUNEUF-SUR-LOIRE,45,4,False,False,6,82261187.3,0
397767831,39776783100811,SOGETREL,5710,42.22Z,,51,1994-06-01,143 AVENUE DE VERDUN 92130 ISSY-LES-MOULINEAUX,ISSY-LES-MOULINEAUX,92,285,False,False,1,75000000.0,0
501241624,50124162400045,NGE ENERGIES SOLUTIONS,5710,42.22Z,,41,2007-11-11,PARC D'ACTIVITES DE LAURADE 13103 SAINT-ETIENNE-DU-GRES,SAINT-ETIENNE-DU-GRES,13,43,False,False,1,75000000.0,0
350050589,35005058900240,SEPUR,5710,38.11Z,,51,1988-12-20,ZA DU PONT CAILLOUX RTE DES NOURRICES 78850 THIVERVAL-GRIGNON,THIVERVAL-GRIGNON,78,66,False,False,7,70632710.18,0
385006234,38500623400137,PRO A PRO,5710,70.10Z,,51,1992-03-26,1419 AVENUE D'ITALIE 82000 MONTAUBAN,MONTAUBAN,82,49,False,False,2,62885433.980000004,0
833817224,83381722400029,SMACL ASSURANCES SA,5599,65.12Z,,41,2017-11-28,141 AVENUE SALVADOR ALLENDE 79000 NIORT,NIORT,79,4,False,False,195,55681420.56999999,18
449586544,44958654400016,AXIONE,5710,61.90Z,,51,2003-07-15,152 AVENUE PIERRE BROSSOLETTE 92240 MALAKOFF,MALAKOFF,92,107,False,False,5,55016091.08,0
439099656,43909965600142,FREE PRO (JAGUAR NETWORK) (FP),5710,61.10Z,,32,2001-09-04,3 RUE PAUL BRUTUS 13015 MARSEILLE,MARSEILLE,13,18,False,False,1,55000000.0,0
381818558,38181855800060,LHOTELLIER TRAVAUX PUBLICS,5710,42.11Z,,41,1991-02-25,ZONE INDUSTRIELLE RUE DU MANOIR 76340 BLANGY-SUR-BRESLE,BLANGY-SUR-BRESLE,76,18,False,False,3,48000000.0,0
398762211,39876221100298,EIFFAGE ROUTE GRAND SUD,5710,70.10Z,,51,1994-10-20,360 RUE LOUIS DE BROGLIE 13290 AIX-EN-PROVENCE,AIX-EN-PROVENCE,13,63,False,False,4,44000000.0,0
834073348,83407334800015,EFFIVERT,5710,81.30Z,,22,2017-12-01,ZA DE L ABBAYE III 2 RUE PIERRE ET MARIE CURIE 44160 PONTCHATEAU,PONTCHATEAU,44,7,False,False,1,42000000.0,0
456500537,45650053706585,DALKIA,5599,35.30Z,,53,1956-01-01,PANORAMA 204 RUE SADI CARNOT 59350 SAINT-ANDRE-LEZ-LILLE,SAINT-ANDRE-LEZ-LILLE,59,651,False,False,9,41901107.21,1
304317357,30431735700172,BAXTER S.A.S,5710,46.46Z,,32,1975-01-01,IMMEUBLE BERLIOZ 4 B RUE DE LA REDOUTE 78280 GUYANCOURT,GUYANCOURT,78,15,False,False,3,41878644.99,0
642044366,64204436600242,UP COOP (CCR),5558,66.19B,,41,1964-01-01,9-11 9 BOULEVARD LOUISE MICHEL 92230 GENNEVILLIERS,GENNEVILLIERS,92,24,False,True,23,40281811.0,1
482883626,48288362600020,UTOPIA EVENEMENTIEL (UE),6220,18.12Z,,NN,2005-06-15,130 RUE BASSE 14000 CAEN,CAEN,14,2,False,False,1,40000000.0,0
378487821,37848782100027,VAL SERVICES,5560,94.99Z,,22,1990-04-17,12 RUE DES CLOSEAUX 78200 MANTES-LA-JOLIE,MANTES-LA-JOLIE,78,3,False,True,5,38710126.24,0
321502049,32150204900240,VERSPIEREN,5599,66.22Z,,42,1981-01-01,1 AVENUE FRANCOIS MITTERRAND 59290 WASQUEHAL,WASQUEHAL,59,30,False,True,2,36475953.0,0
571722669,57172266900264,LYRECO FRANCE,5710,46.49Z,,51,1957-01-01,RUE ALPHONSE TERROIR 59770 MARLY,MARLY,59,34,False,False,17,36088331.64,0
