id,objet,montant,codecpv,procedure,offres_recues,acheteur_id,acheteur_nom,titulaire_siret,titulaire_nom,titulaire_activite,titulaire_effectifs,titulaire_commune,date,score_sous_enchere,raisons_score,economie_estimee_basse,economie_estimee_haute
2024240100,"Marché Public de service relatif à la prestation d'assurance "" dommages aux biens et risques annexes "" pour  les besoins de la ville de Bouguenais",505092.0,66515200-5,Marché passé sans publicité ni mise en concurrence préalable,1.0,21440020200013,,83381722400029,SMACL ASSURANCES SA,,41,NIORT,2023-12-26,100,Sans concurrence (+15) | 1 seule offre (+15) | Fournisseur captif 195 marches (+5) | 18 marches sans concurrence (+10) | Montant accessible (+5),75764,176782
202407,Souscription de contrats d'assurances du groupement de commandes constitué entre la Ville de Saint-Fargeau-Ponthierry et le CCAS: Lot 5 : Assurance Do,90998.0,66515000-3,Marché passé sans publicité ni mise en concurrence préalable,1.0,21770407100166,,83381722400029,SMACL ASSURANCES SA,,41,NIORT,2023-12-28,100,Sans concurrence (+15) | 1 seule offre (+15) | Fournisseur captif 195 marches (+5) | 18 marches sans concurrence (+10) | Montant accessible (+5),13650,31849
249895291,Passation d'un marché d'assurance pour les besoins de la commune (CCAS inclus): Lot 01: Dommages aux biens mobiliers et immobiliers,88052.0,66515000-3,Marché passé sans publicité ni mise en concurrence préalable,1.0,21840138800010,,83381722400029,SMACL ASSURANCES SA,,41,NIORT,2023-12-28,100,Sans concurrence (+15) | 1 seule offre (+15) | Fournisseur captif 195 marches (+5) | 18 marches sans concurrence (+10) | Montant accessible (+5),13208,30818
2023MN027,"Acquisition de modules logiciels complémentaires, de prestations, de maintenance et d'abonnement des progiciels e-SEDITH et ESCORT",700000.0,72250000-2,Marché passé sans publicité ni mise en concurrence préalable,1.0,28130002000027,,75580064600381,,,,,2023-12-27,95,Sans concurrence (+15) | 1 seule offre (+15) | 5 marches sans concurrence (+10) | Montant accessible (+5),105000,245000
202324502CA00,ACQUISITION 6 AUTOBUS SAFRA HYCITY 12 M,4524215.36,34121000-1,Marché négocié sans publicité ni mise en concurrence préalab,,20003986500106,,77605646700587,UNION DES GROUPEMENTS D'ACHATS PUBLICS (UGAP) (UGAP),,42,CHAMPS-SUR-MARNE,2023-12-19,90,Sans concurrence (+15) | Fournisseur captif 12 marches (+5) | 3 marches sans concurrence (+10) | Categorie COTS (+5) | Montant accessible (+5),678632,1583475
243237,"Fourniture de spécialités pharmaceutiques au profit des adhérents du GCS GRAPS Grand Est - marchés négociés lots 1670, 1671, 1672",2521158.0,33600000-6,Marché passé sans publicité ni mise en concurrence préalable,1.0,13002682600011,,53445668600045,,,,,2023-12-20,90,Sans concurrence (+15) | 1 seule offre (+15) | Categorie COTS (+5) | Montant accessible (+5),378174,882405
243230,"Fourniture de spécialités pharmaceutiques au profit des adhérents du GCS GRAPS Grand Est - marchés négociés lots 58, 192, 416,, 425, 188,, 1451, 1582,",1917426.0,33600000-6,Marché passé sans publicité ni mise en concurrence préalable,1.0,13002682600011,,38240122200064,,,,,2023-12-20,90,Sans concurrence (+15) | 1 seule offre (+15) | Categorie COTS (+5) | Montant accessible (+5),287614,671099
243236,Fourniture de spécialités pharmaceutiques au profit des adhérents du GCS GRAPS Grand Est - marchés négociés lot 717,960000.0,33600000-6,Marché passé sans publicité ni mise en concurrence préalable,1.0,13002682600011,,,,,,,2023-12-20,90,Sans concurrence (+15) | 1 seule offre (+15) | Categorie COTS (+5) | Montant accessible (+5),144000,336000
202323SC014200,CS0833614 ZSCALER Souscription - Editeur 17355 [ZSCALER] - ZSC-LOG-EXTSUBS - Extended Log Store-Souscription-36 Mois-UNIQUE,824370.1,30237300-2,Marché négocié sans publicité ni mise en concurrence préalab,,23971001500029,,77605646700587,UNION DES GROUPEMENTS D'ACHATS PUBLICS (UGAP) (UGAP),,42,CHAMPS-SUR-MARNE,2023-12-21,90,Sans concurrence (+15) | Fournisseur captif 12 marches (+5) | 3 marches sans concurrence (+10) | Categorie COTS (+5) | Montant accessible (+5),123656,288530
243231,Fourniture de spécialités pharmaceutiques au profit des adhérents du GCS GRAPS Grand Est - marchés négociés lot 1413,620172.0,33600000-6,Marché passé sans publicité ni mise en concurrence préalable,1.0,13002682600011,,42434701100076,,,,,2023-12-26,90,Sans concurrence (+15) | 1 seule offre (+15) | Categorie COTS (+5) | Montant accessible (+5),93026,217060
2023200700,"Maintenances, acquisitions, évolutions et prestations associées relatives aux progiciels de gestion des ressources humaines",600000.0,48450000-7,Marché négocié sans publicité ni mise en concurrence préalab,,22730001900014,,34054699300668,NEXPUBLICA FRANCE (NEXPUBLICA),,42,CLICHY,2023-12-06,90,Sans concurrence (+15) | Fournisseur captif 14 marches (+5) | 10 marches sans concurrence (+10) | Categorie COTS (+5) | Montant accessible (+5),90000,210000
243223,"Fourniture de spécialités pharmaceutiques au profit des adhérents du GCS GRAPS Grand Est - marchés négociés lots 1580, 1581",573216.0,33600000-6,Marché passé sans publicité ni mise en concurrence préalable,1.0,13002682600011,,44877792000035,,,,,2023-12-21,90,Sans concurrence (+15) | 1 seule offre (+15) | Categorie COTS (+5) | Montant accessible (+5),85982,200626
